geografia,giorno,data,totale_casi_positivi,totale_casi_positivi_ab,deceduti,deceduti_inc,letalita,totale_ricoveri,totale_ricoveri_inc,attualmente_positivi,dimessi,tamponi,tamponi_inc
AR,0,24/2/2020,0,0,,,,,,,,,
AR,1,25/2/2020,0,0,,,,,,,,,
AR,2,26/2/2020,0,0,,,,,,,,,
AR,3,27/2/2020,0,0,,,,,,,,,
AR,4,28/2/2020,0,0,,,,,,,,,
AR,5,29/2/2020,0,0,,,,,,,,,
AR,6,01/3/2020,0,0,,,,,,,,,
AR,7,02/3/2020,1,.0029183959122747,,,,,,,,,
AR,8,03/3/2020,2,.0058367918245494,,,,,,,,,
AR,9,04/3/2020,2,.0058367918245494,,,,,,,,,
AR,10,05/3/2020,5,.0145919788628817,,,,,,,,,
AR,11,06/3/2020,7,.0204287711530924,,,,,,,,,
AR,12,07/3/2020,8,.0233471672981977,,,,,,,,,
AR,13,08/3/2020,9,.026265561580658,,,,,,,,,
AR,14,09/3/2020,12,.035020750015974,0,,0,,,,,,
AR,15,10/3/2020,13,.0379391461610794,0,,0,,,,,,
AR,16,11/3/2020,14,.0408575423061848,0,,0,,,,,,
AR,17,12/3/2020,14,.0408575423061848,0,,0,,,,,,
AR,18,13/3/2020,16,.0466943345963955,0,,0,,,,,,
AR,19,14/3/2020,27,.0787966847419739,0,,0,,,,,,
AR,20,15/3/2020,41,.1196542307734489,0,,0,,,,,,
AR,21,16/3/2020,43,.1254910230636597,0,,0,,,,,,
AR,22,17/3/2020,71,.2072061002254486,0,,0,,,,,,
AR,23,18/3/2020,142,.4144122004508972,0,,0,,,,,,
AR,24,19/3/2020,113,.3297787308692932,0,,0,,,,,,
AR,25,20/3/2020,124,.3618810772895813,0,,0,,,,,,
AR,26,21/3/2020,136,.3969018161296844,0,,0,,,,,,
AR,27,22/3/2020,154,.4494329690933228,1,,.64935064,,,,,,
AR,28,23/3/2020,201,.5865975618362427,1,0,.49751243,,,,,,
AR,29,24/3/2020,211,.6157815456390381,2,100,.94786727,,,,,,
AR,30,25/3/2020,229,.668312668800354,2,0,.87336242,,,,,,
AR,31,26/3/2020,249,.7266805768013,3,50,1.2048193,,,,,,
AR,32,27/3/2020,249,.7266805768013,5,66.666664,2.0080321,,,,,,
AR,33,28/3/2020,272,.7938036322593689,5,0,1.8382353,,,,,,
AR,34,29/3/2020,284,.8288244009017944,5,0,1.7605634,,,,,,
AR,35,30/3/2020,310,.9047027230262756,5,0,1.6129032,,,,,,
AR,36,31/3/2020,332,.9689074158668518,6,20,1.8072289,,,,,,
AR,37,01/4/2020,343,1.001009821891785,7,16.666666,2.0408163,,,,,,
AR,38,02/4/2020,357,1.041867256164551,7,0,1.9607843,,,,,,
AR,39,03/4/2020,358,1.044785737991333,8,14.285714,2.2346368,,,,,,
AR,40,04/4/2020,370,1.079806447029114,10,25,2.7027028,,,,,,
AR,41,05/4/2020,378,1.103153586387634,10,0,2.6455026,,,,,,
AR,42,06/4/2020,387,1.129419207572937,10,0,2.5839794,,,,,,
AR,43,07/4/2020,396,1.15568470954895,12,20,3.030303,,,,,,
AR,44,08/4/2020,398,1.161521553993225,12,0,3.0150754,,,,,,
AR,45,09/4/2020,399,1.164439916610718,13,8.333333,3.2581453,,,,,,
AR,46,10/4/2020,403,1.176113486289978,14,7.6923075,3.4739454,,,,,,
AR,47,11/4/2020,417,1.216971039772034,14,0,3.3573141,,,,,,
AR,48,12/4/2020,429,1.251991748809814,14,0,3.2634032,,,,,,
AR,49,13/4/2020,453,1.322033286094666,16,14.285714,3.5320089,,,,,,
AR,50,14/4/2020,487,1.421258807182312,16,0,3.2854209,,,,,,
AR,51,15/4/2020,522,1.523402571678162,19,18.75,3.6398468,,,,,,
AR,52,16/4/2020,530,1.546749830245972,20,5.2631578,3.7735848,,,,,,
AR,53,17/4/2020,541,1.57885217666626,23,15,4.2513862,,,,,,
AR,54,18/4/2020,548,1.599280953407288,23,0,4.1970801,,,,,,
AR,55,19/4/2020,558,1.628464818000793,23,0,4.1218638,,,,,,
AR,56,20/4/2020,567,1.654730439186096,24,4.347826,4.2328043,,,,,,
AR,57,21/4/2020,580,1.692669630050659,27,12.5,4.6551723,,,,,,
AR,58,22/4/2020,587,1.713098287582397,28,3.7037036,4.7700171,,,,,,
AR,59,23/4/2020,597,1.742282271385193,28,0,4.6901174,,,,,,
AR,60,24/4/2020,606,1.768547892570496,28,0,4.6204619,,,,,,
AR,61,25/4/2020,610,1.780221462249756,30,7.1428571,4.9180326,,,,,,
AR,62,26/4/2020,617,1.800650238990784,33,10,5.3484602,,,,,,
AR,63,27/4/2020,619,1.806486964225769,34,3.030303,5.4927301,,,,,,
AR,64,28/4/2020,620,1.809405446052551,36,5.8823528,5.8064518,,,,,,
AR,65,29/4/2020,621,1.812323808670044,37,2.7777777,5.9581323,,,,,,
AR,66,30/4/2020,624,1.821079015731812,38,2.7027028,6.0897436,,,,,,
AR,67,01/5/2020,639,1.86485493183136,39,2.6315789,6.1032863,,,,,,
AR,68,02/5/2020,648,1.891120433807373,39,0,6.0185184,,,,,,
AR,69,03/5/2020,648,1.891120433807373,39,0,6.0185184,,,,,,
AR,70,04/5/2020,651,1.899875640869141,39,0,5.9907832,,,,,,
AR,71,05/5/2020,652,1.902794122695923,40,2.5641026,6.1349692,,,,,,
AR,72,06/5/2020,654,1.908630847930908,40,0,6.1162081,,,,,,
AR,73,07/5/2020,655,1.911549210548401,41,2.5,6.259542,,,,,,
AR,74,08/5/2020,660,1.926141262054443,42,2.4390244,6.3636365,,,,,,
AR,75,09/5/2020,660,1.926141262054443,44,4.7619047,6.6666665,,,,,,
AR,76,10/5/2020,662,1.931977987289429,44,0,6.6465259,,,,,,
