geografia,giorno,data,totale_casi_positivi,totale_casi_positivi_ab,deceduti,deceduti_inc,letalita,totale_ricoveri,totale_ricoveri_inc,attualmente_positivi,dimessi,tamponi,tamponi_inc
FI,0,24/2/2020,0,0,,,,,,,,,
FI,1,25/2/2020,1,.0009887783089653,,,,,,,,,
FI,2,26/2/2020,2,.0019775566179305,,,,,,,,,
FI,3,27/2/2020,1,.0009887783089653,,,,,,,,,
FI,4,28/2/2020,7,.0069214482791722,,,,,,,,,
FI,5,29/2/2020,5,.0049438918940723,,,,,,,,,
FI,6,01/3/2020,5,.0049438918940723,,,,,,,,,
FI,7,02/3/2020,4,.0039551132358611,,,,,,,,,
FI,8,03/3/2020,7,.0069214482791722,,,,,,,,,
FI,9,04/3/2020,12,.0118653401732445,,,,,,,,,
FI,10,05/3/2020,20,.0197755675762892,,,,,,,,,
FI,11,06/3/2020,23,.0227419026196003,,,,,,,,,
FI,12,07/3/2020,27,.0266970153898001,,,,,,,,,
FI,13,08/3/2020,39,.0385623574256897,,,,,,,,,
FI,14,09/3/2020,51,.0504276975989342,0,,0,,,,,,
FI,15,10/3/2020,61,.060315478593111,0,,0,,,,,,
FI,16,11/3/2020,71,.0702032595872879,0,,0,,,,,,
FI,17,12/3/2020,86,.0850349366664886,0,,0,,,,,,
FI,18,13/3/2020,101,.0998666137456894,0,,0,,,,,,
FI,19,14/3/2020,132,.1305187493562698,0,,0,,,,,,
FI,20,15/3/2020,162,.1601820886135101,0,,0,,,,,,
FI,21,16/3/2020,186,.1839127689599991,1,,.53763443,,,,,,
FI,22,17/3/2020,214,.2115985751152039,1,0,.46728972,,,,,,
FI,23,18/3/2020,295,.2916896045207977,1,0,.33898306,,,,,,
FI,24,19/3/2020,349,.3450836539268494,4,300,1.1461318,,,,,,
FI,25,20/3/2020,401,.3965001106262207,4,0,.99750626,,,,,,
FI,26,21/3/2020,451,.4459390342235565,6,50,1.330377,,,,,,
FI,27,22/3/2020,514,.508232057094574,11,83.333336,2.1400778,,,,,,
FI,28,23/3/2020,548,.5418505668640137,12,9.090909,2.189781,,,,,,
FI,29,24/3/2020,622,.6150201559066772,15,25,2.4115756,,,,,,
FI,30,25/3/2020,709,.7010438442230225,20,33.333332,2.8208745,,,,,,
FI,31,26/3/2020,764,.7554266452789307,25,25,3.2722514,,,,,,
FI,32,27/3/2020,764,.7554266452789307,25,0,3.2722514,,,,,,
FI,33,28/3/2020,855,.8454055190086365,27,8,3.1578948,,,,,,
FI,34,29/3/2020,957,.9462608695030212,29,7.4074073,3.030303,,,,,,
FI,35,30/3/2020,1022,1.010531425476074,35,20.689655,3.4246576,,,,,,
FI,36,31/3/2020,1087,1.074802041053772,39,11.428572,3.5878565,,,,,,
FI,37,01/4/2020,1158,1.145005345344543,44,12.820513,3.7996545,,,,,,
FI,38,02/4/2020,1419,1.403076529502869,47,6.818182,3.3121917,,,,,,
FI,39,03/4/2020,1543,1.525684952735901,52,10.638298,3.3700583,,,,,,
FI,40,04/4/2020,1626,1.60775363445282,57,9.6153851,3.5055351,,,,,,
FI,41,05/4/2020,1715,1.695754885673523,59,3.5087719,3.4402332,,,,,,
FI,42,06/4/2020,1769,1.749148964881897,76,28.813559,4.2962127,,,,,,
FI,43,07/4/2020,1805,1.78474497795105,83,9.2105265,4.5983381,,,,,,
FI,44,08/4/2020,1871,1.850004315376282,93,12.048193,4.9706039,,,,,,
FI,45,09/4/2020,1961,1.938994407653809,101,8.6021509,5.1504335,,,,,,
FI,46,10/4/2020,2069,2.045782327651978,111,9.9009905,5.3649106,,,,,,
FI,47,11/4/2020,2154,2.129828691482544,115,3.6036036,5.3389044,,,,,,
FI,48,12/4/2020,2259,2.233650207519531,124,7.826087,5.4891543,,,,,,
FI,49,13/4/2020,2269,2.24353814125061,129,4.032258,5.6853237,,,,,,
FI,50,14/4/2020,2311,2.285066843032837,142,10.077519,6.144526,,,,,,
FI,51,15/4/2020,2372,2.345382213592529,147,3.5211267,6.1973019,,,,,,
FI,52,16/4/2020,2443,2.415585517883301,154,4.7619047,6.3037248,,,,,,
FI,53,17/4/2020,2494,2.466013193130493,157,1.9480519,6.2951083,,,,,,
FI,54,18/4/2020,2563,2.534238815307617,162,3.1847134,6.3207178,,,,,,
FI,55,19/4/2020,2609,2.57972264289856,171,5.5555553,6.5542355,,,,,,
FI,56,20/4/2020,2653,2.623229026794434,184,7.6023393,6.9355445,,,,,,
FI,57,21/4/2020,2704,2.673656702041626,192,4.347826,7.1005917,,,,,,
FI,58,22/4/2020,2760,2.729028224945068,201,4.6875,7.2826085,,,,,,
FI,59,23/4/2020,2795,2.763635396957397,216,7.4626865,7.728086,,,,,,
FI,60,24/4/2020,2849,2.817029476165771,227,5.0925927,7.9677081,,,,,,
FI,61,25/4/2020,2924,2.891187906265259,238,4.8458152,8.139535,,,,,,
FI,62,26/4/2020,3003,2.969301462173462,249,4.6218486,8.291708,,,,,,
FI,63,27/4/2020,3011,2.977211713790894,257,3.2128515,8.5353699,,,,,,
FI,64,28/4/2020,3039,3.004897356033325,266,3.5019455,8.7528791,,,,,,
FI,65,29/4/2020,3079,3.044448614120483,276,3.7593985,8.9639492,,,,,,
FI,66,30/4/2020,3120,3.084988355636597,287,3.9855072,9.1987181,,,,,,
FI,67,01/5/2020,3156,3.120584487915039,292,1.7421603,9.2522182,,,,,,
FI,68,02/5/2020,3193,3.157169342041016,297,1.7123288,9.3015976,,,,,,
FI,69,03/5/2020,3210,3.173978567123413,303,2.0202019,9.4392519,,,,,,
FI,70,04/5/2020,3224,3.187821388244629,306,.99009901,9.4913149,,,,,,
FI,71,05/5/2020,3242,3.205619335174561,309,.98039216,9.5311537,,,,,,
FI,72,06/5/2020,3257,3.22045111656189,314,1.6181229,9.6407738,,,,,,
FI,73,07/5/2020,3275,3.238249063491821,319,1.5923567,9.7404585,,,,,,
FI,74,08/5/2020,3296,3.259013414382935,330,3.4482758,10.012136,,,,,,
FI,75,09/5/2020,3305,3.267912626266479,334,1.2121212,10.1059,,,,,,
FI,76,10/5/2020,3316,3.278789043426514,336,.59880239,10.13269,,,,,,
FI,77,11/5/2020,3322,3.284721612930298,342,1.7857143,10.295003,,,,,,
FI,78,12/5/2020,3333,3.295598030090332,345,.87719297,10.351035,,,,,,
FI,79,13/5/2020,3340,3.302519798278809,347,.57971013,10.389221,,,,,,
FI,80,14/5/2020,3353,3.31537389755249,350,.86455333,10.438414,,,,,,
FI,81,15/5/2020,3371,3.333171606063843,351,.2857143,10.41234,,,,,,
FI,82,16/5/2020,3385,3.347014665603638,351,0,10.369276,,,,,,
FI,83,17/5/2020,3403,3.364812612533569,352,.28490028,10.343814,,,,,,
FI,84,18/5/2020,3406,3.367779016494751,355,.85227275,10.422783,,,,,,
FI,85,19/5/2020,3411,3.37272310256958,357,.5633803,10.466139,,,,,,
FI,86,20/5/2020,3413,3.374700546264648,360,.84033614,10.547905,,,,,,
FI,87,21/5/2020,3420,3.381622076034546,362,.55555558,10.584795,,,,,,
FI,88,22/5/2020,3436,3.39744234085083,366,1.1049724,10.651921,,,,,,
FI,89,23/5/2020,3445,3.406341552734375,367,.27322406,10.65312,,,,,,
FI,90,24/5/2020,3451,3.412274122238159,369,.54495913,10.692553,,,,,,
FI,91,25/5/2020,3451,3.412274122238159,370,.27100271,10.72153,,,,,,
FI,92,26/5/2020,3452,3.413262844085693,373,.8108108,10.80533,,,,,,
