geografia,giorno,data,totale_casi_positivi,totale_casi_positivi_ab,deceduti,deceduti_inc,letalita,totale_ricoveri,totale_ricoveri_inc,attualmente_positivi,dimessi,tamponi,tamponi_inc
GR,0,24/2/2020,0,0,,,,,,,,,
GR,1,25/2/2020,0,0,,,,,,,,,
GR,2,26/2/2020,0,0,,,,,,,,,
GR,3,27/2/2020,0,0,,,,,,,,,
GR,4,28/2/2020,0,0,,,,,,,,,
GR,5,29/2/2020,0,0,,,,,,,,,
GR,6,01/3/2020,0,0,,,,,,,,,
GR,7,02/3/2020,0,0,,,,,,,,,
GR,8,03/3/2020,0,0,,,,,,,,,
GR,9,04/3/2020,0,0,,,,,,,,,
GR,10,05/3/2020,2,.0090240901336074,,,,,,,,,
GR,11,06/3/2020,2,.0090240901336074,,,,,,,,,
GR,12,07/3/2020,2,.0090240901336074,,,,,,,,,
GR,13,08/3/2020,4,.0180481802672148,,,,,,,,,
GR,14,09/3/2020,6,.0270722694694996,0,,0,,,,,,
GR,15,10/3/2020,10,.0451204478740692,0,,0,,,,,,
GR,16,11/3/2020,12,.0541445389389992,0,,0,,,,,,
GR,17,12/3/2020,16,.0721927210688591,0,,0,,,,,,
GR,18,13/3/2020,16,.0721927210688591,0,,0,,,,,,
GR,19,14/3/2020,31,.1398733854293823,0,,0,,,,,,
GR,20,15/3/2020,38,.1714577078819275,0,,0,,,,,,
GR,21,16/3/2020,50,.2256022393703461,0,,0,,,,,,
GR,22,17/3/2020,60,.2707226872444153,0,,0,,,,,,
GR,23,18/3/2020,68,.3068190515041351,0,,0,,,,,,
GR,24,19/3/2020,89,.4015719890594482,0,,0,,,,,,
GR,25,20/3/2020,97,.4376683533191681,1,,1.0309278,,,,,,
GR,26,21/3/2020,106,.4782767593860626,2,100,1.8867924,,,,,,
GR,27,22/3/2020,120,.5414453744888306,2,0,1.6666666,,,,,,
GR,28,23/3/2020,128,.5775417685508728,2,0,1.5625,,,,,,
GR,29,24/3/2020,140,.631686270236969,2,0,1.4285715,,,,,,
GR,30,25/3/2020,147,.6632705926895142,2,0,1.3605442,,,,,,
GR,31,26/3/2020,174,.7850958108901978,3,50,1.7241379,,,,,,
GR,32,27/3/2020,174,.7850958108901978,3,0,1.7241379,,,,,,
GR,33,28/3/2020,234,1.055818557739258,3,0,1.2820513,,,,,,
GR,34,29/3/2020,245,1.105450987815857,3,0,1.2244898,,,,,,
GR,35,30/3/2020,251,1.13252329826355,4,33.333332,1.5936255,,,,,,
GR,36,31/3/2020,257,1.159595489501953,4,0,1.5564202,,,,,,
GR,37,01/4/2020,263,1.186667799949646,5,25,1.9011407,,,,,,
GR,38,02/4/2020,264,1.191179871559143,6,20,2.2727273,,,,,,
GR,39,03/4/2020,264,1.191179871559143,7,16.666666,2.6515152,,,,,,
GR,40,04/4/2020,273,1.231788277626038,7,0,2.5641026,,,,,,
GR,41,05/4/2020,277,1.249836444854736,8,14.285714,2.8880866,,,,,,
GR,42,06/4/2020,284,1.281420707702637,9,12.5,3.169014,,,,,,
GR,43,07/4/2020,290,1.30849301815033,10,11.111111,3.4482758,,,,,,
GR,44,08/4/2020,290,1.30849301815033,12,20,4.1379309,,,,,,
GR,45,09/4/2020,292,1.317517161369324,12,0,4.1095891,,,,,,
GR,46,10/4/2020,310,1.398733973503113,12,0,3.8709676,,,,,,
GR,47,11/4/2020,323,1.457390546798706,12,0,3.7151704,,,,,,
GR,48,12/4/2020,327,1.475438714027405,13,8.333333,3.9755352,,,,,,
GR,49,13/4/2020,368,1.660432577133179,13,0,3.5326087,,,,,,
GR,50,14/4/2020,368,1.660432577133179,13,0,3.5326087,,,,,,
GR,51,15/4/2020,368,1.660432577133179,13,0,3.5326087,,,,,,
GR,52,16/4/2020,368,1.660432577133179,13,0,3.5326087,,,,,,
GR,53,17/4/2020,376,1.696528911590576,13,0,3.4574468,,,,,,
GR,54,18/4/2020,379,1.710065007209778,14,7.6923075,3.6939313,,,,,,
GR,55,19/4/2020,380,1.714577078819275,14,0,3.6842105,,,,,,
GR,56,20/4/2020,383,1.728113174438477,14,0,3.6553526,,,,,,
GR,57,21/4/2020,386,1.741649389266968,14,0,3.6269431,,,,,,
GR,58,22/4/2020,389,1.755185484886169,14,0,3.5989716,,,,,,
GR,59,23/4/2020,394,1.777745723724365,14,0,3.5532994,,,,,,
GR,60,24/4/2020,397,1.791281819343567,16,14.285714,4.0302267,,,,,,
GR,61,25/4/2020,400,1.804817914962769,16,0,4,,,,,,
GR,62,26/4/2020,400,1.804817914962769,16,0,4,,,,,,
GR,63,27/4/2020,402,1.813842058181763,16,0,3.9800994,,,,,,
GR,64,28/4/2020,404,1.822866082191467,16,0,3.9603961,,,,,,
GR,65,29/4/2020,405,1.827378153800964,16,0,3.9506173,,,,,,
GR,66,30/4/2020,406,1.831890225410461,16,0,3.9408867,,,,,,
GR,67,01/5/2020,407,1.836402297019958,16,0,3.9312038,,,,,,
GR,68,02/5/2020,407,1.836402297019958,16,0,3.9312038,,,,,,
GR,69,03/5/2020,409,1.845426321029663,16,0,3.9119804,,,,,,
GR,70,04/5/2020,413,1.863474488258362,16,0,3.8740921,,,,,,
GR,71,05/5/2020,415,1.872498631477356,16,0,3.8554218,,,,,,
GR,72,06/5/2020,416,1.877010703086853,16,0,3.8461537,,,,,,
GR,73,07/5/2020,416,1.877010703086853,16,0,3.8461537,,,,,,
GR,74,08/5/2020,417,1.88152277469635,16,0,3.8369305,,,,,,
GR,75,09/5/2020,417,1.881522655487061,16,0,3.8369305,,,,,,
GR,76,10/5/2020,421,1.899570941925049,16,0,3.8004751,,,,,,
GR,77,11/5/2020,421,1.899570941925049,16,0,3.8004751,,,,,,
GR,78,12/5/2020,421,1.899570941925049,18,12.5,4.2755346,,,,,,
GR,79,13/5/2020,421,1.899570941925049,19,5.5555553,4.5130639,,,,,,
GR,80,14/5/2020,421,1.899570941925049,19,0,4.5130639,,,,,,
GR,81,15/5/2020,421,1.899570941925049,19,0,4.5130639,,,,,,
GR,82,16/5/2020,421,1.899570941925049,19,0,4.5130639,,,,,,
GR,83,17/5/2020,422,1.904082894325256,19,0,4.5023699,,,,,,
GR,84,18/5/2020,422,1.904082894325256,19,0,4.5023699,,,,,,
GR,85,19/5/2020,423,1.908594965934753,19,0,4.4917259,,,,,,
GR,86,20/5/2020,423,1.908594965934753,19,0,4.4917259,,,,,,
GR,87,21/5/2020,423,1.908594965934753,20,5.2631578,4.7281322,,,,,,
GR,88,22/5/2020,423,1.908594965934753,20,0,4.7281322,,,,,,
GR,89,23/5/2020,423,1.908594965934753,20,0,4.7281322,,,,,,
GR,90,24/5/2020,423,1.908594965934753,20,0,4.7281322,,,,,,
GR,91,25/5/2020,423,1.908594965934753,20,0,4.7281322,,,,,,
GR,92,26/5/2020,424,1.91310703754425,21,5,4.9528303,,,,,,
GR,93,27/5/2020,425,1.917618989944458,21,0,4.9411764,,,,,,
GR,94,28/5/2020,425,1.917618989944458,21,0,4.9411764,,,,,,
GR,95,29/5/2020,425,1.917618989944458,21,0,4.9411764,,,,,,
GR,96,30/5/2020,425,1.917618989944458,21,0,4.9411764,,,,,,
GR,97,31/5/2020,425,1.917618989944458,21,0,4.9411764,,,,,,
GR,98,01/6/2020,425,1.917618989944458,23,9.5238094,5.4117646,,,,,,
GR,99,02/6/2020,426,1.922131180763245,23,0,5.3990612,,,,,,
GR,100,03/6/2020,426,1.922131180763245,23,0,5.3990612,,,,,,
GR,101,04/6/2020,426,1.922131180763245,23,0,5.3990612,,,,,,
GR,102,05/6/2020,426,1.922131180763245,23,0,5.3990612,,,,,,
GR,103,06/6/2020,426,1.922131180763245,23,0,5.3990612,,,,,,
GR,104,07/6/2020,426,1.922131180763245,23,0,5.3990612,,,,,,
GR,105,08/6/2020,427,1.926643252372742,23,0,5.3864169,,,,,,
GR,106,09/6/2020,427,1.926643252372742,23,0,5.3864169,,,,,,
GR,107,10/6/2020,427,1.926643252372742,23,0,5.3864169,,,,,,
GR,108,11/6/2020,429,1.935667276382446,23,0,5.3613052,,,,,,
GR,109,12/6/2020,429,1.935667276382446,23,0,5.3613052,,,,,,
GR,110,13/6/2020,429,1.935667276382446,23,0,5.3613052,,,,,,
GR,111,14/6/2020,430,1.940179347991943,23,0,5.3488374,,,,,,
GR,112,15/6/2020,430,1.940179347991943,23,0,5.3488374,,,,,,
GR,113,16/6/2020,430,1.940179347991943,23,0,5.3488374,,,,,,
GR,114,17/6/2020,430,1.940179347991943,24,4.347826,5.5813951,,,,,,
GR,115,18/6/2020,430,1.940179347991943,24,0,5.5813951,,,,,,
GR,116,19/6/2020,430,1.940179347991943,24,0,5.5813951,,,,,,
GR,117,20/6/2020,430,1.940179347991943,24,0,5.5813951,,,,,,
GR,118,21/6/2020,430,1.940179347991943,24,0,5.5813951,,,,,,
GR,119,22/6/2020,430,1.940179347991943,24,0,5.5813951,,,,,,
GR,120,23/6/2020,430,1.940179347991943,24,0,5.5813951,,,,,,
GR,121,24/6/2020,394,1.777745723724365,24,0,6.0913706,,,,,,
GR,122,25/6/2020,395,1.782257676124573,24,0,6.0759492,,,,,,
GR,123,26/6/2020,395,1.782257676124573,24,0,6.0759492,,,,,,
GR,124,27/6/2020,396,1.78676974773407,24,0,6.060606,,,,,,
GR,125,28/6/2020,396,1.78676974773407,24,0,6.060606,,,,,,
GR,126,29/6/2020,396,1.78676974773407,24,0,6.060606,,,,,,
GR,127,30/6/2020,396,1.78676974773407,24,0,6.060606,,,,,,
GR,128,01/7/2020,396,1.78676974773407,24,0,6.060606,,,,,,
GR,129,02/7/2020,396,1.78676974773407,24,0,6.060606,,,,,,
GR,130,03/7/2020,397,1.791281938552856,24,0,6.0453401,,,,,,
GR,131,04/7/2020,400,1.804817914962769,24,0,6,,,,,,
GR,132,05/7/2020,401,1.809329986572266,24,0,5.9850373,,,,,,
GR,133,06/7/2020,401,1.809329986572266,24,0,5.9850373,,,,,,
GR,134,07/7/2020,401,1.809329986572266,24,0,5.9850373,,,,,,
GR,135,08/7/2020,402,1.813842058181763,24,0,5.970149,,,,,,
GR,136,09/7/2020,402,1.813842058181763,24,0,5.970149,,,,,,
GR,137,10/7/2020,402,1.813842058181763,24,0,5.970149,,,,,,
GR,138,11/7/2020,402,1.813842058181763,24,0,5.970149,,,,,,
GR,139,12/7/2020,402,1.813842058181763,24,0,5.970149,,,,,,
GR,140,13/7/2020,402,1.813842058181763,24,0,5.970149,,,,,,
GR,141,14/7/2020,404,1.822866201400757,24,0,5.9405942,,,,,,
GR,142,15/7/2020,404,1.822866201400757,24,0,5.9405942,,,,,,
GR,143,16/7/2020,404,1.822866201400757,24,0,5.9405942,,,,,,
GR,144,17/7/2020,404,1.822866201400757,24,0,5.9405942,,,,,,
GR,145,18/7/2020,405,1.827378273010254,24,0,5.9259257,,,,,,
GR,146,19/7/2020,405,1.827378273010254,24,0,5.9259257,,,,,,
GR,147,20/7/2020,405,1.827378273010254,24,0,5.9259257,,,,,,
GR,148,21/7/2020,405,1.827378273010254,24,0,5.9259257,,,,,,
GR,149,22/7/2020,405,1.827378273010254,24,0,5.9259257,,,,,,
GR,150,23/7/2020,407,1.836402297019958,24,0,5.8968058,,,,,,
GR,151,24/7/2020,408,1.840914249420166,24,0,5.8823528,,,,,,
GR,152,25/7/2020,408,1.840914249420166,24,0,5.8823528,,,,,,
GR,153,26/7/2020,408,1.840914249420166,24,0,5.8823528,,,,,,
GR,154,27/7/2020,408,1.840914249420166,24,0,5.8823528,,,,,,
GR,155,28/7/2020,408,1.840914249420166,24,0,5.8823528,,,,,,
GR,156,29/7/2020,408,1.840914249420166,24,0,5.8823528,,,,,,
GR,157,30/7/2020,408,1.840914249420166,24,0,5.8823528,,,,,,
GR,158,31/7/2020,408,1.840914249420166,24,0,5.8823528,,,,,,
GR,159,01/8/2020,408,1.840914249420166,24,0,5.8823528,,,,,,
GR,160,02/8/2020,408,1.840914249420166,24,0,5.8823528,,,,,,
GR,161,03/8/2020,408,1.840914249420166,24,0,5.8823528,,,,,,
GR,162,04/8/2020,410,1.84993839263916,25,4.1666665,6.0975609,,,,,,
GR,163,05/8/2020,412,1.858962535858154,25,0,6.0679612,,,,,,
GR,164,06/8/2020,415,1.872498631477356,25,0,6.0240965,,,,,,
GR,165,07/8/2020,418,1.886034727096558,25,0,5.9808612,,,,,,
GR,166,08/8/2020,418,1.886034727096558,25,0,5.9808612,,,,,,
GR,167,09/8/2020,420,1.895058870315552,25,0,5.9523811,,,,,,
GR,168,10/8/2020,420,1.895058870315552,25,0,5.9523811,,,,,,
GR,169,11/8/2020,420,1.895058870315552,25,0,5.9523811,,,,,,
GR,170,12/8/2020,421,1.899570941925049,25,0,5.9382424,,,,,,
GR,171,13/8/2020,422,1.904082894325256,25,0,5.9241705,,,,,,
GR,172,14/8/2020,422,1.904082894325256,25,0,5.9241705,,,,,,
GR,173,15/8/2020,424,1.91310703754425,25,0,5.8962264,,,,,,
GR,174,16/8/2020,424,1.91310703754425,25,0,5.8962264,,,,,,
GR,175,17/8/2020,427,1.926643252372742,25,0,5.8548007,,,,,,
GR,176,18/8/2020,427,1.926643252372742,25,0,5.8548007,,,,,,
GR,177,19/8/2020,429,1.935667276382446,25,0,5.8275061,,,,,,
GR,178,20/8/2020,429,1.935667276382446,25,0,5.8275061,,,,,,
GR,179,21/8/2020,432,1.949203372001648,25,0,5.7870369,,,,,,
GR,180,22/8/2020,435,1.962739586830139,25,0,5.7471266,,,,,,
GR,181,23/8/2020,441,1.989811897277832,25,0,5.6689343,,,,,,
GR,182,24/8/2020,442,1.994323883056641,25,0,5.6561084,,,,,,
