geografia,giorno,data,totale_casi_positivi,totale_casi_positivi_ab,deceduti,deceduti_inc,letalita,totale_ricoveri,totale_ricoveri_inc,attualmente_positivi,dimessi,tamponi,tamponi_inc
LI,0,24/2/2020,0,0,,,,,,,,,
LI,1,25/2/2020,0,0,,,,,,,,,
LI,2,26/2/2020,0,0,,,,,,,,,
LI,3,27/2/2020,0,0,,,,,,,,,
LI,4,28/2/2020,0,0,,,,,,,,,
LI,5,29/2/2020,0,0,,,,,,,,,
LI,6,01/3/2020,0,0,,,,,,,,,
LI,7,02/3/2020,0,0,,,,,,,,,
LI,8,03/3/2020,0,0,,,,,,,,,
LI,9,04/3/2020,3,.00895971711725,,,,,,,,,
LI,10,05/3/2020,3,.00895971711725,,,,,,,,,
LI,11,06/3/2020,5,.0149328615516424,,,,,,,,,
LI,12,07/3/2020,6,.0179194342344999,,,,,,,,,
LI,13,08/3/2020,10,.0298657231032848,,,,,,,,,
LI,14,09/3/2020,10,.0298657231032848,0,,0,,,,,,
LI,15,10/3/2020,14,.0418120138347149,0,,0,,,,,,
LI,16,11/3/2020,16,.0477851592004299,0,,0,,,,,,
LI,17,12/3/2020,16,.0477851592004299,0,,0,,,,,,
LI,18,13/3/2020,27,.0806374549865723,0,,0,,,,,,
LI,19,14/3/2020,40,.1194628924131393,0,,0,,,,,,
LI,20,15/3/2020,50,.1493286192417145,1,,2,,,,,,
LI,21,16/3/2020,53,.1582883298397064,2,100,3.7735848,,,,,,
LI,22,17/3/2020,59,.1762077659368515,3,50,5.0847459,,,,,,
LI,23,18/3/2020,62,.1851674914360046,3,0,4.8387098,,,,,,
LI,24,19/3/2020,62,.1851674914360046,4,33.333332,6.4516129,,,,,,
LI,25,20/3/2020,117,.3494289815425873,5,25,4.2735043,,,,,,
LI,26,21/3/2020,120,.3583886921405792,5,0,4.1666665,,,,,,
LI,27,22/3/2020,130,.3882544040679932,7,40,5.3846154,,,,,,
LI,28,23/3/2020,140,.4181201457977295,9,28.571428,6.4285712,,,,,,
LI,29,24/3/2020,162,.4838247299194336,10,11.111111,6.1728396,,,,,,
LI,30,25/3/2020,179,.5345964431762695,10,0,5.5865922,,,,,,
LI,31,26/3/2020,204,.6092607378959656,12,20,5.8823528,,,,,,
LI,32,27/3/2020,204,.6092607378959656,12,0,5.8823528,,,,,,
LI,33,28/3/2020,220,.6570459008216858,13,8.333333,5.909091,,,,,,
LI,34,29/3/2020,236,.704831063747406,18,38.46154,7.6271186,,,,,,
LI,35,30/3/2020,271,.8093611001968384,19,5.5555553,7.0110703,,,,,,
LI,36,31/3/2020,280,.836240291595459,20,5.2631578,7.1428571,,,,,,
LI,37,01/4/2020,295,.8810388445854187,21,5,7.1186442,,,,,,
LI,38,02/4/2020,301,.8989582657814026,21,0,6.9767442,,,,,,
LI,39,03/4/2020,307,.9168777465820313,22,4.7619047,7.1661239,,,,,,
LI,40,04/4/2020,316,.9437568783760071,25,13.636364,7.9113922,,,,,,
LI,41,05/4/2020,322,.961676299571991,26,4,8.0745344,,,,,,
LI,42,06/4/2020,323,.9646628499031067,27,3.8461537,8.3591328,,,,,,
LI,43,07/4/2020,336,1.003488302230835,27,0,8.0357141,,,,,,
LI,44,08/4/2020,349,1.042313814163208,27,0,7.7363896,,,,,,
LI,45,09/4/2020,353,1.054260015487671,27,0,7.648725,,,,,,
LI,46,10/4/2020,358,1.069192886352539,29,7.4074073,8.1005583,,,,,,
LI,47,11/4/2020,379,1.131910920143127,29,0,7.6517148,,,,,,
LI,48,12/4/2020,398,1.188655853271484,31,6.8965516,7.7889447,,,,,,
LI,49,13/4/2020,404,1.206575274467468,32,3.2258065,7.9207921,,,,,,
LI,50,14/4/2020,410,1.224494695663452,32,0,7.8048782,,,,,,
LI,51,15/4/2020,415,1.23942756652832,34,6.25,8.192771,,,,,,
LI,52,16/4/2020,465,1.388756155967712,36,5.8823528,7.7419353,,,,,,
LI,53,17/4/2020,475,1.418621897697449,36,0,7.5789475,,,,,,
LI,54,18/4/2020,480,1.433554768562317,36,0,7.5,,,,,,
LI,55,19/4/2020,489,1.460433840751648,39,8.333333,7.9754601,,,,,,
LI,56,20/4/2020,491,1.466407060623169,39,0,7.9429736,,,,,,
LI,57,21/4/2020,492,1.469393610954285,39,0,7.9268293,,,,,,
LI,58,22/4/2020,494,1.475366711616516,41,5.1282053,8.2995949,,,,,,
LI,59,23/4/2020,495,1.478353381156921,41,0,8.2828283,,,,,,
LI,60,24/4/2020,499,1.490299582481384,41,0,8.2164326,,,,,,
LI,61,25/4/2020,501,1.496272802352905,42,2.4390244,8.3832331,,,,,,
LI,62,26/4/2020,508,1.517178773880005,43,2.3809524,8.4645672,,,,,,
LI,63,27/4/2020,508,1.517178773880005,44,2.3255813,8.661417,,,,,,
LI,64,28/4/2020,511,1.526138424873352,44,0,8.6105671,,,,,,
LI,65,29/4/2020,513,1.532111644744873,44,0,8.5769978,,,,,,
LI,66,30/4/2020,513,1.532111644744873,44,0,8.5769978,,,,,,
LI,67,01/5/2020,515,1.538084745407104,44,0,8.5436897,,,,,,
LI,68,02/5/2020,521,1.556004166603088,45,2.2727273,8.6372356,,,,,,
LI,69,03/5/2020,523,1.561977386474609,45,0,8.6042061,,,,,,
LI,70,04/5/2020,526,1.570937037467957,46,2.2222223,8.7452469,,,,,,
LI,71,05/5/2020,529,1.579896807670593,46,0,8.695652,,,,,,
LI,72,06/5/2020,529,1.579896807670593,49,6.521739,9.2627602,,,,,,
LI,73,07/5/2020,530,1.582883358001709,50,2.0408163,9.4339619,,,,,,
LI,74,08/5/2020,531,1.585869908332825,50,0,9.4161959,,,,,,
LI,75,09/5/2020,535,1.597816109657288,50,0,9.3457947,,,,,,
LI,76,10/5/2020,535,1.597816109657288,50,0,9.3457947,,,,,,
LI,77,11/5/2020,535,1.597816109657288,51,2,9.5327101,,,,,,
LI,78,12/5/2020,535,1.597816109657288,53,3.9215686,9.9065418,,,,,,
LI,79,13/5/2020,538,1.606775999069214,53,0,9.8513012,,,,,,
LI,80,14/5/2020,539,1.60976254940033,53,0,9.833024,,,,,,
LI,81,15/5/2020,541,1.615735650062561,53,0,9.7966728,,,,,,
LI,82,16/5/2020,541,1.615735650062561,53,0,9.7966728,,,,,,
LI,83,17/5/2020,541,1.615735650062561,55,3.7735848,10.166359,,,,,,
LI,84,18/5/2020,542,1.618722200393677,55,0,10.147601,,,,,,
LI,85,19/5/2020,542,1.618722200393677,55,0,10.147601,,,,,,
LI,86,20/5/2020,543,1.621708869934082,57,3.6363637,10.497237,,,,,,
LI,87,21/5/2020,546,1.630668520927429,57,0,10.439561,,,,,,
LI,88,22/5/2020,550,1.642614722251892,57,0,10.363636,,,,,,
LI,89,23/5/2020,551,1.645601391792297,58,1.7543859,10.526316,,,,,,
LI,90,24/5/2020,551,1.645601391792297,58,0,10.526316,,,,,,
LI,91,25/5/2020,552,1.648587942123413,58,0,10.507246,,,,,,
LI,92,26/5/2020,553,1.651574611663818,58,0,10.488246,,,,,,
LI,93,27/5/2020,554,1.654561161994934,58,0,10.469314,,,,,,
LI,94,28/5/2020,554,1.654561161994934,58,0,10.469314,,,,,,
LI,95,29/5/2020,555,1.65754759311676,58,0,10.450451,,,,,,
LI,96,30/5/2020,556,1.660534262657166,58,0,10.431655,,,,,,
LI,97,31/5/2020,556,1.660534262657166,58,0,10.431655,,,,,,
LI,98,01/6/2020,556,1.660534262657166,58,0,10.431655,,,,,,
LI,99,02/6/2020,556,1.660534262657166,58,0,10.431655,,,,,,
LI,100,03/6/2020,557,1.663520812988281,59,1.7241379,10.59246,,,,,,
LI,101,04/6/2020,557,1.663520812988281,59,0,10.59246,,,,,,
LI,102,05/6/2020,557,1.663520812988281,59,0,10.59246,,,,,,
LI,103,06/6/2020,557,1.663520812988281,61,3.3898306,10.951526,,,,,,
LI,104,07/6/2020,557,1.663520812988281,61,0,10.951526,,,,,,
LI,105,08/6/2020,557,1.663520812988281,61,0,10.951526,,,,,,
LI,106,09/6/2020,557,1.663520812988281,61,0,10.951526,,,,,,
LI,107,10/6/2020,557,1.663520812988281,61,0,10.951526,,,,,,
LI,108,11/6/2020,557,1.663520812988281,61,0,10.951526,,,,,,
LI,109,12/6/2020,557,1.663520812988281,61,0,10.951526,,,,,,
