geografia,giorno,data,totale_casi_positivi,totale_casi_positivi_ab,deceduti,deceduti_inc,letalita,totale_ricoveri,totale_ricoveri_inc,attualmente_positivi,dimessi,tamponi,tamponi_inc
LU,0,24/2/2020,0,0,,,,,,,,,
LU,1,25/2/2020,0,0,,,,,,,,,
LU,2,26/2/2020,0,0,,,,,,,,,
LU,3,27/2/2020,0,0,,,,,,,,,
LU,4,28/2/2020,0,0,,,,,,,,,
LU,5,29/2/2020,1,.0025781434960663,,,,,,,,,
LU,6,01/3/2020,1,.0025781434960663,,,,,,,,,
LU,7,02/3/2020,1,.0025781434960663,,,,,,,,,
LU,8,03/3/2020,3,.007734430488199,,,,,,,,,
LU,9,04/3/2020,3,.007734430488199,,,,,,,,,
LU,10,05/3/2020,6,.015468860976398,,,,,,,,,
LU,11,06/3/2020,8,.0206251479685307,,,,,,,,,
LU,12,07/3/2020,15,.0386721529066563,,,,,,,,,
LU,13,08/3/2020,26,.0670317336916924,,,,,,,,,
LU,14,09/3/2020,31,.0799224525690079,0,,0,,,,,,
LU,15,10/3/2020,37,.0953913107514381,0,,0,,,,,,
LU,16,11/3/2020,43,.1108601689338684,0,,0,,,,,,
LU,17,12/3/2020,49,.1263290345668793,1,,2.0408163,,,,,,
LU,18,13/3/2020,79,.2036733329296112,1,0,1.2658228,,,,,,
LU,19,14/3/2020,96,.2475017756223679,1,0,1.0416666,,,,,,
LU,20,15/3/2020,130,.33515864610672,1,0,.76923078,,,,,,
LU,21,16/3/2020,138,.3557838201522827,2,100,1.4492754,,,,,,
LU,22,17/3/2020,179,.4614876806735992,4,100,2.2346368,,,,,,
LU,23,18/3/2020,205,.5285194516181946,7,75,3.4146342,,,,,,
LU,24,19/3/2020,230,.592972993850708,13,85.714287,5.652174,,,,,,
LU,25,20/3/2020,249,.6419577598571777,14,7.6923075,5.6224899,,,,,,
LU,26,21/3/2020,307,.7914900779724121,16,14.285714,5.2117262,,,,,,
LU,27,22/3/2020,356,.917819082736969,18,12.5,5.05618,,,,,,
LU,28,23/3/2020,363,.935866117477417,19,5.5555553,5.2341599,,,,,,
LU,29,24/3/2020,387,.9977415204048157,20,5.2631578,5.1679587,,,,,,
LU,30,25/3/2020,436,1.124070525169373,21,5,4.8165135,,,,,,
LU,31,26/3/2020,481,1.240087032318115,22,4.7619047,4.5738044,,,,,,
LU,32,27/3/2020,481,1.240087032318115,29,31.818182,6.0291061,,,,,,
LU,33,28/3/2020,618,1.593292713165283,32,10.344828,5.1779933,,,,,,
LU,34,29/3/2020,672,1.732512474060059,35,9.375,5.2083335,,,,,,
LU,35,30/3/2020,711,1.833060026168823,36,2.8571429,5.0632911,,,,,,
LU,36,31/3/2020,729,1.879466652870178,38,5.5555553,5.2126203,,,,,,
LU,37,01/4/2020,771,1.987748622894287,38,0,4.9286642,,,,,,
LU,38,02/4/2020,802,2.067671060562134,44,15.789474,5.4862843,,,,,,
LU,39,03/4/2020,843,2.173374891281128,47,6.818182,5.5753264,,,,,,
LU,40,04/4/2020,855,2.204312801361084,50,6.3829789,5.8479533,,,,,,
LU,41,05/4/2020,872,2.248141050338745,55,10,6.3073397,,,,,,
LU,42,06/4/2020,888,2.28939151763916,61,10.909091,6.8693695,,,,,,
LU,43,07/4/2020,920,2.371891975402832,64,4.9180326,6.9565215,,,,,,
LU,44,08/4/2020,954,2.459548950195313,67,4.6875,7.0230608,,,,,,
LU,45,09/4/2020,979,2.524002552032471,68,1.4925373,6.9458632,,,,,,
LU,46,10/4/2020,988,2.547205924987793,72,5.8823528,7.2874494,,,,,,
LU,47,11/4/2020,1006,2.593612432479858,72,0,7.1570578,,,,,,
LU,48,12/4/2020,1020,2.629706382751465,75,4.1666665,7.352941,,,,,,
LU,49,13/4/2020,1060,2.732832193374634,79,5.3333335,7.4528303,,,,,,
LU,50,14/4/2020,1061,2.735410213470459,82,3.7974684,7.7285581,,,,,,
LU,51,15/4/2020,1073,2.766348123550415,84,2.4390244,7.8285184,,,,,,
LU,52,16/4/2020,1134,2.923614740371704,88,4.7619047,7.7601409,,,,,,
LU,53,17/4/2020,1158,2.985490322113037,89,1.1363636,7.6856651,,,,,,
LU,54,18/4/2020,1165,3.003537178039551,91,2.247191,7.8111587,,,,,,
LU,55,19/4/2020,1197,3.086037874221802,94,3.2967033,7.8529658,,,,,,
LU,56,20/4/2020,1213,3.127288103103638,97,3.1914895,7.9967022,,,,,,
LU,57,21/4/2020,1215,3.132444381713867,99,2.0618556,8.1481485,,,,,,
LU,58,22/4/2020,1221,3.147913217544556,101,2.0202019,8.2719078,,,,,,
LU,59,23/4/2020,1225,3.158225774765015,104,2.9702971,8.4897957,,,,,,
LU,60,24/4/2020,1230,3.171116590499878,106,1.9230769,8.6178865,,,,,,
LU,61,25/4/2020,1244,3.207210540771484,109,2.8301888,8.7620583,,,,,,
LU,62,26/4/2020,1256,3.238148212432861,110,.91743118,8.7579622,,,,,,
