geografia,giorno,data,totale_casi_positivi,totale_casi_positivi_ab,deceduti,deceduti_inc,letalita,totale_ricoveri,totale_ricoveri_inc,attualmente_positivi,dimessi,tamponi,tamponi_inc
MS,0,24/2/2020,0,0,,,,,,,,,
MS,1,25/2/2020,0,0,,,,,,,,,
MS,2,26/2/2020,0,0,,,,,,,,,
MS,3,27/2/2020,0,0,,,,,,,,,
MS,4,28/2/2020,0,0,,,,,,,,,
MS,5,29/2/2020,1,.0051314155571163,,,,,,,,,
MS,6,01/3/2020,3,.0153942462056875,,,,,,,,,
MS,7,02/3/2020,3,.0153942462056875,,,,,,,,,
MS,8,03/3/2020,3,.0153942462056875,,,,,,,,,
MS,9,04/3/2020,4,.0205256622284651,,,,,,,,,
MS,10,05/3/2020,6,.030788492411375,,,,,,,,,
MS,11,06/3/2020,10,.0513141565024853,,,,,,,,,
MS,12,07/3/2020,16,.0821026489138603,,,,,,,,,
MS,13,08/3/2020,21,.1077597290277481,,,,,,,,,
MS,14,09/3/2020,28,.1436796337366104,0,,0,,,,,,
MS,15,10/3/2020,37,.1898623704910278,0,,0,,,,,,
MS,16,11/3/2020,40,.2052566260099411,0,,0,,,,,,
MS,17,12/3/2020,40,.2052566260099411,2,,5,,,,,,
MS,18,13/3/2020,65,.3335420191287994,2,0,3.0769231,,,,,,
MS,19,14/3/2020,88,.4515645802021027,2,0,2.2727273,,,,,,
MS,20,15/3/2020,108,.5541929006576538,2,0,1.8518518,,,,,,
MS,21,16/3/2020,117,.6003755927085876,5,150,4.2735043,,,,,,
MS,22,17/3/2020,143,.7337924242019653,5,0,3.4965036,,,,,,
MS,23,18/3/2020,176,.9031291604042053,6,20,3.409091,,,,,,
MS,24,19/3/2020,200,1.026283144950867,10,66.666664,5,,,,,,
MS,25,20/3/2020,232,1.190488457679749,11,10,4.7413793,,,,,,
MS,26,21/3/2020,256,1.313642382621765,20,81.818184,7.8125,,,,,,
MS,27,22/3/2020,281,1.441927790641785,24,20,8.540925,,,,,,
MS,28,23/3/2020,289,1.48297905921936,31,29.166666,10.726644,,,,,,
MS,29,24/3/2020,314,1.61126446723938,35,12.903226,11.146497,,,,,,
MS,30,25/3/2020,330,1.693367123603821,37,5.7142859,11.212121,,,,,,
MS,31,26/3/2020,334,1.713892817497253,41,10.810811,12.275449,,,,,,
MS,32,27/3/2020,334,1.713892817497253,44,7.3170733,13.173653,,,,,,
MS,33,28/3/2020,470,2.411765336990356,45,2.2727273,9.5744677,,,,,,
MS,34,29/3/2020,493,2.52978777885437,48,6.6666665,9.7363081,,,,,,
MS,35,30/3/2020,543,2.786358594894409,49,2.0833333,9.023941,,,,,,
