geografia,giorno,data,totale_casi_positivi,totale_casi_positivi_ab,deceduti,deceduti_inc,letalita,totale_ricoveri,totale_ricoveri_inc,attualmente_positivi,dimessi,tamponi,tamponi_inc
PI,0,24/2/2020,0,0,,,,,,,,,
PI,1,25/2/2020,0,0,,,,,,,,,
PI,2,26/2/2020,0,0,,,,,,,,,
PI,3,27/2/2020,0,0,,,,,,,,,
PI,4,28/2/2020,0,0,,,,,,,,,
PI,5,29/2/2020,0,0,,,,,,,,,
PI,6,01/3/2020,0,0,,,,,,,,,
PI,7,02/3/2020,0,0,,,,,,,,,
PI,8,03/3/2020,0,0,,,,,,,,,
PI,9,04/3/2020,2,.0047728484496474,,,,,,,,,
PI,10,05/3/2020,5,.0119321206584573,,,,,,,,,
PI,11,06/3/2020,8,.0190913937985897,,,,,,,,,
PI,12,07/3/2020,11,.0262506660073996,,,,,,,,,
PI,13,08/3/2020,17,.0405692085623741,,,,,,,,,
PI,14,09/3/2020,20,.0477284826338291,1,,5,,,,,,
PI,15,10/3/2020,31,.0739791467785835,1,0,3.2258065,,,,,,
PI,16,11/3/2020,34,.0811384171247482,1,0,2.9411764,,,,,,
PI,17,12/3/2020,34,.0811384171247482,1,0,2.9411764,,,,,,
PI,18,13/3/2020,51,.1217076331377029,1,0,1.9607843,,,,,,
PI,19,14/3/2020,62,.1479582935571671,1,0,1.6129032,,,,,,
PI,20,15/3/2020,71,.1694361120462418,2,100,2.8169014,,,,,,
PI,21,16/3/2020,78,.1861410737037659,2,0,2.5641026,,,,,,
PI,22,17/3/2020,101,.24102883040905,2,0,1.980198,,,,,,
PI,23,18/3/2020,124,.2959165871143341,3,50,2.4193549,,,,,,
PI,24,19/3/2020,146,.3484179079532623,3,0,2.0547945,,,,,,
PI,25,20/3/2020,180,.4295563399791718,3,0,1.6666666,,,,,,
PI,26,21/3/2020,211,.5035355091094971,8,166.66667,3.7914691,,,,,,
PI,27,22/3/2020,234,.5584232211112976,10,25,4.2735043,,,,,,
PI,28,23/3/2020,266,.6347888112068176,13,30,4.887218,,,,,,
PI,29,24/3/2020,285,.6801308989524841,16,23.076923,5.6140351,,,,,,
PI,30,25/3/2020,317,.7564964294433594,18,12.5,5.6782336,,,,,,
PI,31,26/3/2020,350,.8352484107017517,21,16.666666,6,,,,,,
PI,32,27/3/2020,350,.8352484107017517,23,9.5238094,6.5714288,,,,,,
PI,33,28/3/2020,398,.9497967958450317,26,13.043478,6.5326633,,,,,,
PI,34,29/3/2020,432,1.030935168266296,27,3.8461537,6.25,,,,,,
PI,35,30/3/2020,446,1.064345121383667,27,0,6.0538116,,,,,,
PI,36,31/3/2020,471,1.124005794525146,29,7.4074073,6.1571126,,,,,,
PI,37,01/4/2020,491,1.171734213829041,30,3.4482758,6.1099796,,,,,,
PI,38,02/4/2020,515,1.229008436203003,33,10,6.4077668,,,,,,
PI,39,03/4/2020,519,1.238554120063782,34,3.030303,6.5510597,,,,,,
PI,40,04/4/2020,527,1.257645487785339,34,0,6.4516129,,,,,,
PI,41,05/4/2020,544,1.298214673995972,38,11.764706,6.9852943,,,,,,
PI,42,06/4/2020,560,1.336397528648376,38,0,6.7857141,,,,,,
PI,43,07/4/2020,584,1.393671631813049,38,0,6.5068493,,,,,,
PI,44,08/4/2020,592,1.412763118743896,41,7.8947368,6.9256759,,,,,,
PI,45,09/4/2020,606,1.446172952651978,43,4.8780489,7.0957098,,,,,,
PI,46,10/4/2020,613,1.462877988815308,44,2.3255813,7.177814,,,,,,
PI,47,11/4/2020,636,1.517765760421753,45,2.2727273,7.0754719,,,,,,
PI,48,12/4/2020,677,1.615609169006348,49,8.8888893,7.2378139,,,,,,
PI,49,13/4/2020,694,1.65617835521698,52,6.1224489,7.4927955,,,,,,
PI,50,14/4/2020,727,1.734930276870728,52,0,7.1526823,,,,,,
PI,51,15/4/2020,733,1.749248862266541,54,3.8461537,7.3669848,,,,,,
PI,52,16/4/2020,750,1.789818048477173,57,5.5555553,7.5999999,,,,,,
PI,53,17/4/2020,766,1.828000903129578,58,1.7543859,7.5718017,,,,,,
PI,54,18/4/2020,774,1.847092270851135,60,3.4482758,7.7519379,,,,,,
PI,55,19/4/2020,778,1.856637954711914,61,1.6666666,7.8406172,,,,,,
PI,56,20/4/2020,804,1.918684959411621,63,3.2786884,7.8358207,,,,,,
PI,57,21/4/2020,811,1.935389995574951,65,3.1746032,8.0147963,,,,,,
PI,58,22/4/2020,818,1.952094912528992,66,1.5384616,8.0684595,,,,,,
PI,59,23/4/2020,823,1.964027047157288,66,0,8.0194407,,,,,,
PI,60,24/4/2020,824,1.966413497924805,69,4.5454545,8.373786,,,,,,
PI,61,25/4/2020,833,1.987891316413879,69,0,8.2833138,,,,,,
PI,62,26/4/2020,836,1.995050549507141,70,1.4492754,8.3732061,,,,,,
PI,63,27/4/2020,840,2.00459623336792,71,1.4285715,8.4523811,,,,,,
PI,64,28/4/2020,844,2.014142036437988,71,0,8.412322,,,,,,
PI,65,29/4/2020,846,2.018914699554443,71,0,8.3924351,,,,,,
PI,66,30/4/2020,847,2.02130126953125,72,1.4084507,8.5005903,,,,,,
PI,67,01/5/2020,851,2.030846834182739,74,2.7777777,8.695652,,,,,,
PI,68,02/5/2020,856,2.042778968811035,75,1.3513514,8.7616825,,,,,,
PI,69,03/5/2020,857,2.045165538787842,75,0,8.7514582,,,,,,
PI,70,04/5/2020,858,2.047551870346069,76,1.3333334,8.8578091,,,,,,
PI,71,05/5/2020,860,2.052324771881104,77,1.3157895,8.9534883,,,,,,
PI,72,06/5/2020,862,2.057097673416138,77,0,8.9327145,,,,,,
PI,73,07/5/2020,863,2.059484004974365,77,0,8.9223642,,,,,,
PI,74,08/5/2020,865,2.064256906509399,77,0,8.9017344,,,,,,
PI,75,09/5/2020,867,2.069029808044434,77,0,8.8811998,,,,,,
PI,76,10/5/2020,867,2.069029808044434,78,1.2987013,8.9965401,,,,,,
PI,77,11/5/2020,868,2.071416139602661,78,0,8.9861755,,,,,,
PI,78,12/5/2020,868,2.071416139602661,78,0,8.9861755,,,,,,
PI,79,13/5/2020,875,2.088120937347412,78,0,8.9142857,,,,,,
PI,80,14/5/2020,876,2.090507507324219,81,3.8461537,9.2465754,,,,,,
PI,81,15/5/2020,877,2.092894077301025,81,0,9.2360315,,,,,,
PI,82,16/5/2020,877,2.092894077301025,81,0,9.2360315,,,,,,
PI,83,17/5/2020,878,2.095280408859253,81,0,9.2255125,,,,,,
PI,84,18/5/2020,880,2.100053310394287,82,1.2345679,9.318182,,,,,,
PI,85,19/5/2020,881,2.102439641952515,83,1.2195122,9.4211121,,,,,,
PI,86,20/5/2020,883,2.107212543487549,83,0,9.3997736,,,,,,
PI,87,21/5/2020,885,2.111985206604004,84,1.2048193,9.4915257,,,,,,
PI,88,22/5/2020,885,2.111985206604004,85,1.1904762,9.6045198,,,,,,
PI,89,23/5/2020,885,2.111985206604004,85,0,9.6045198,,,,,,
PI,90,24/5/2020,886,2.114371776580811,85,0,9.5936794,,,,,,
PI,91,25/5/2020,888,2.119144678115845,85,0,9.572072,,,,,,
PI,92,26/5/2020,888,2.119144678115845,85,0,9.572072,,,,,,
PI,93,27/5/2020,890,2.1239173412323,85,0,9.5505619,,,,,,
PI,94,28/5/2020,891,2.126303911209106,85,0,9.5398426,,,,,,
PI,95,29/5/2020,891,2.126303911209106,85,0,9.5398426,,,,,,
