geografia,giorno,data,totale_casi_positivi,totale_casi_positivi_ab,deceduti,deceduti_inc,letalita,totale_ricoveri,totale_ricoveri_inc,attualmente_positivi,dimessi,tamponi,tamponi_inc
PO,0,24/2/2020,0,0,,,,,,,,,
PO,1,25/2/2020,0,0,,,,,,,,,
PO,2,26/2/2020,0,0,,,,,,,,,
PO,3,27/2/2020,0,0,,,,,,,,,
PO,4,28/2/2020,0,0,,,,,,,,,
PO,5,29/2/2020,0,0,,,,,,,,,
PO,6,01/3/2020,0,0,,,,,,,,,
PO,7,02/3/2020,0,0,,,,,,,,,
PO,8,03/3/2020,0,0,,,,,,,,,
PO,9,04/3/2020,1,.0038802402559668,,,,,,,,,
PO,10,05/3/2020,1,.0038802402559668,,,,,,,,,
PO,11,06/3/2020,1,.0038802402559668,,,,,,,,,
PO,12,07/3/2020,3,.011640721000731,,,,,,,,,
PO,13,08/3/2020,3,.011640721000731,,,,,,,,,
PO,14,09/3/2020,5,.0194012019783258,0,,0,,,,,,
PO,15,10/3/2020,7,.0271616820245981,0,,0,,,,,,
PO,16,11/3/2020,21,.0814850479364395,0,,0,,,,,,
PO,17,12/3/2020,25,.0970060080289841,0,,0,,,,,,
PO,18,13/3/2020,26,.1008862480521202,0,,0,,,,,,
PO,19,14/3/2020,33,.1280479282140732,0,,0,,,,,,
PO,20,15/3/2020,42,.162970095872879,0,,0,,,,,,
PO,21,16/3/2020,45,.1746108084917068,0,,0,,,,,,
PO,22,17/3/2020,53,.205652728676796,1,,1.8867924,,,,,,
PO,23,18/3/2020,59,.2289341688156128,1,0,1.6949153,,,,,,
PO,24,19/3/2020,70,.2716168165206909,1,0,1.4285715,,,,,,
PO,25,20/3/2020,94,.3647425770759583,2,100,2.1276596,,,,,,
PO,26,21/3/2020,111,.4307066798210144,4,100,3.6036036,,,,,,
PO,27,22/3/2020,129,.5005509853363037,5,25,3.8759689,,,,,,
PO,28,23/3/2020,137,.5315929055213928,7,40,5.109489,,,,,,
PO,29,24/3/2020,159,.6169582009315491,8,14.285714,5.0314465,,,,,,
PO,30,25/3/2020,178,.6906827688217163,9,12.5,5.05618,,,,,,
PO,31,26/3/2020,189,.7333654165267944,10,11.111111,5.2910051,,,,,,
PO,32,27/3/2020,189,.7333654165267944,11,10,5.820106,,,,,,
PO,33,28/3/2020,217,.8420121669769287,11,0,5.0691242,,,,,,
PO,34,29/3/2020,221,.8575330972671509,11,0,4.9773755,,,,,,
PO,35,30/3/2020,248,.9622995853424072,14,27.272728,5.6451612,,,,,,
