geografia,giorno,data,totale_casi_positivi,totale_casi_positivi_ab,deceduti,deceduti_inc,letalita,totale_ricoveri,totale_ricoveri_inc,attualmente_positivi,dimessi,tamponi,tamponi_inc
PT,0,24/2/2020,0,0,,,,,,,,,
PT,1,25/2/2020,1,.0034191189333797,,,,,,,,,
PT,2,26/2/2020,0,0,,,,,,,,,
PT,3,27/2/2020,1,.0034191189333797,,,,,,,,,
PT,4,28/2/2020,1,.0034191189333797,,,,,,,,,
PT,5,29/2/2020,1,.0034191189333797,,,,,,,,,
PT,6,01/3/2020,1,.0034191189333797,,,,,,,,,
PT,7,02/3/2020,1,.0034191189333797,,,,,,,,,
PT,8,03/3/2020,1,.0034191189333797,,,,,,,,,
PT,9,04/3/2020,1,.0034191189333797,,,,,,,,,
PT,10,05/3/2020,1,.0034191189333797,,,,,,,,,
PT,11,06/3/2020,1,.0034191189333797,,,,,,,,,
PT,12,07/3/2020,6,.0205147136002779,,,,,,,,,
PT,13,08/3/2020,13,.044448547065258,,,,,,,,,
PT,14,09/3/2020,16,.0547059029340744,0,,0,,,,,,
PT,15,10/3/2020,21,.0718014985322952,0,,0,,,,,,
PT,16,11/3/2020,32,.1094118133187294,0,,0,,,,,,
PT,17,12/3/2020,43,.1470221132040024,0,,0,,,,,,
PT,18,13/3/2020,48,.1641177088022232,0,,0,,,,,,
PT,19,14/3/2020,63,.2154044955968857,1,,1.5873016,,,,,,
PT,20,15/3/2020,79,.2701103985309601,1,0,1.2658228,,,,,,
PT,21,16/3/2020,90,.3077207207679749,1,0,1.1111112,,,,,,
PT,22,17/3/2020,100,.3419119119644165,2,100,2,,,,,,
PT,23,18/3/2020,122,.4171325266361237,2,0,1.6393442,,,,,,
PT,24,19/3/2020,145,.4957722723484039,3,50,2.0689654,,,,,,
PT,25,20/3/2020,171,.5846693515777588,6,100,3.5087719,,,,,,
PT,26,21/3/2020,181,.6188605427742004,9,50,4.9723759,,,,,,
PT,27,22/3/2020,215,.7351105809211731,11,22.222221,5.1162791,,,,,,
PT,28,23/3/2020,229,.7829782366752625,13,18.181818,5.676856,,,,,,
PT,29,24/3/2020,243,.8308459520339966,21,61.53846,8.6419754,,,,,,
PT,30,25/3/2020,254,.868456244468689,23,9.5238094,9.0551186,,,,,,
PT,31,26/3/2020,264,.9026474356651306,24,4.347826,9.090909,,,,,,
PT,32,27/3/2020,264,.9026474356651306,28,16.666666,10.606061,,,,,,
PT,33,28/3/2020,298,1.018897414207458,33,17.857143,11.073826,,,,,,
PT,34,29/3/2020,309,1.05650782585144,35,6.060606,11.32686,,,,,,
PT,35,30/3/2020,324,1.107794523239136,37,5.7142859,11.419753,,,,,,
PT,36,31/3/2020,332,1.135147571563721,37,0,11.144578,,,,,,
PT,37,01/4/2020,333,1.138566613197327,38,2.7027028,11.411411,,,,,,
PT,38,02/4/2020,346,1.18301522731781,39,2.6315789,11.271676,,,,,,
PT,39,03/4/2020,361,1.234301924705505,43,10.256411,11.911357,,,,,,
PT,40,04/4/2020,374,1.278750538825989,46,6.9767442,12.299465,,,,,,
PT,41,05/4/2020,394,1.347132921218872,49,6.521739,12.436548,,,,,,
PT,42,06/4/2020,400,1.367647647857666,49,0,12.25,,,,,,
PT,43,07/4/2020,404,1.381324052810669,51,4.0816326,12.623762,,,,,,
PT,44,08/4/2020,450,1.538603544235229,53,3.9215686,11.777778,,,,,,
PT,45,09/4/2020,457,1.562537431716919,54,1.8867924,11.816193,,,,,,
PT,46,10/4/2020,468,1.600147724151611,58,7.4074073,12.393163,,,,,,
PT,47,11/4/2020,490,1.675368309020996,61,5.1724138,12.448979,,,,,,
PT,48,12/4/2020,506,1.730074286460876,64,4.9180326,12.648221,,,,,,
PT,49,13/4/2020,509,1.740331530570984,64,0,12.573674,,,,,,
PT,50,14/4/2020,513,1.754008054733276,66,3.125,12.865497,,,,,,
PT,51,15/4/2020,516,1.764265418052673,67,1.5151515,12.984496,,,,,,
PT,52,16/4/2020,536,1.832647800445557,68,1.4925373,12.686567,,,,,,
PT,53,17/4/2020,547,1.870258092880249,68,0,12.431444,,,,,,
PT,54,18/4/2020,554,1.894191980361938,68,0,12.274368,,,,,,
PT,55,19/4/2020,557,1.904449343681335,68,0,12.208259,,,,,,
PT,56,20/4/2020,568,1.942059636116028,71,4.4117646,12.5,,,,,,
PT,57,21/4/2020,575,1.965993404388428,71,0,12.347826,,,,,,
PT,58,22/4/2020,583,1.993346452713013,72,1.4084507,12.349915,,,,,,
PT,59,23/4/2020,592,2.024118423461914,72,0,12.162162,,,,,,
PT,60,24/4/2020,598,2.044633150100708,72,0,12.040133,,,,,,
PT,61,25/4/2020,607,2.075405359268188,72,0,11.861614,,,,,,
PT,62,26/4/2020,615,2.102758169174194,72,0,11.707317,,,,,,
PT,63,27/4/2020,618,2.113015651702881,73,1.3888888,11.812298,,,,,,
PT,64,28/4/2020,621,2.123272895812988,73,0,11.755234,,,,,,
PT,65,29/4/2020,624,2.133530378341675,74,1.369863,11.858974,,,,,,
PT,66,30/4/2020,630,2.154045104980469,74,0,11.746032,,,,,,
PT,67,01/5/2020,633,2.164302349090576,74,0,11.690363,,,,,,
PT,68,02/5/2020,640,2.188236236572266,74,0,11.5625,,,,,,
PT,69,03/5/2020,644,2.201912641525269,74,0,11.490684,,,,,,
PT,70,04/5/2020,647,2.212170124053955,76,2.7027028,11.746522,,,,,,
PT,71,05/5/2020,647,2.212170124053955,76,0,11.746522,,,,,,
PT,72,06/5/2020,647,2.212170124053955,76,0,11.746522,,,,,,
PT,73,07/5/2020,647,2.212170124053955,76,0,11.746522,,,,,,
PT,74,08/5/2020,648,2.215589046478271,76,0,11.728395,,,,,,
PT,75,09/5/2020,652,2.229265689849854,76,0,11.656442,,,,,,
PT,76,10/5/2020,652,2.229265689849854,76,0,11.656442,,,,,,
PT,77,11/5/2020,652,2.229265689849854,76,0,11.656442,,,,,,
PT,78,12/5/2020,652,2.229265689849854,76,0,11.656442,,,,,,
PT,79,13/5/2020,654,2.236103773117065,76,0,11.620795,,,,,,
PT,80,14/5/2020,655,2.239522933959961,77,1.3157895,11.755725,,,,,,
PT,81,15/5/2020,656,2.242942094802856,77,0,11.737804,,,,,,
PT,82,16/5/2020,661,2.260037660598755,77,0,11.649016,,,,,,
PT,83,17/5/2020,661,2.260037660598755,78,1.2987013,11.800303,,,,,,
PT,84,18/5/2020,661,2.260037660598755,78,0,11.800303,,,,,,
PT,85,19/5/2020,661,2.260037660598755,78,0,11.800303,,,,,,
PT,86,20/5/2020,663,2.266875982284546,78,0,11.764706,,,,,,
PT,87,21/5/2020,666,2.277133226394653,79,1.2820513,11.861862,,,,,,
PT,88,22/5/2020,669,2.28739070892334,79,0,11.80867,,,,,,
PT,89,23/5/2020,669,2.28739070892334,79,0,11.80867,,,,,,
PT,90,24/5/2020,671,2.294228792190552,79,0,11.773473,,,,,,
PT,91,25/5/2020,673,2.301067113876343,79,0,11.738484,,,,,,
PT,92,26/5/2020,673,2.301067113876343,79,0,11.738484,,,,,,
PT,93,27/5/2020,673,2.301067113876343,79,0,11.738484,,,,,,
PT,94,28/5/2020,674,2.304486274719238,79,0,11.721068,,,,,,
PT,95,29/5/2020,674,2.304486274719238,79,0,11.721068,,,,,,
PT,96,30/5/2020,675,2.307905197143555,80,1.2658228,11.851851,,,,,,
PT,97,31/5/2020,675,2.307905197143555,80,0,11.851851,,,,,,
PT,98,01/6/2020,675,2.307905197143555,80,0,11.851851,,,,,,
PT,99,02/6/2020,676,2.31132435798645,80,0,11.834319,,,,,,
PT,100,03/6/2020,676,2.31132435798645,80,0,11.834319,,,,,,
PT,101,04/6/2020,677,2.314743757247925,80,0,11.816839,,,,,,
PT,102,05/6/2020,677,2.314743757247925,80,0,11.816839,,,,,,
PT,103,06/6/2020,677,2.314743757247925,80,0,11.816839,,,,,,
PT,104,07/6/2020,677,2.314743757247925,80,0,11.816839,,,,,,
PT,105,08/6/2020,678,2.318162679672241,80,0,11.79941,,,,,,
PT,106,09/6/2020,678,2.318162679672241,80,0,11.79941,,,,,,
PT,107,10/6/2020,678,2.318162679672241,80,0,11.79941,,,,,,
PT,108,11/6/2020,678,2.318162679672241,80,0,11.79941,,,,,,
PT,109,12/6/2020,679,2.321581840515137,80,0,11.782032,,,,,,
PT,110,13/6/2020,679,2.321581840515137,80,0,11.782032,,,,,,
PT,111,14/6/2020,679,2.321581840515137,80,0,11.782032,,,,,,
PT,112,15/6/2020,680,2.325001001358032,80,0,11.764706,,,,,,
PT,113,16/6/2020,680,2.325001001358032,80,0,11.764706,,,,,,
PT,114,17/6/2020,680,2.325001001358032,80,0,11.764706,,,,,,
PT,115,18/6/2020,680,2.325001001358032,80,0,11.764706,,,,,,
PT,116,19/6/2020,680,2.325001001358032,80,0,11.764706,,,,,,
PT,117,20/6/2020,680,2.325001001358032,80,0,11.764706,,,,,,
PT,118,21/6/2020,680,2.325001001358032,80,0,11.764706,,,,,,
PT,119,22/6/2020,680,2.325001001358032,81,1.25,11.911765,,,,,,
PT,120,23/6/2020,681,2.328420162200928,81,0,11.894273,,,,,,
PT,121,24/6/2020,743,2.540405511856079,81,0,10.90175,,,,,,
PT,122,25/6/2020,743,2.540405511856079,81,0,10.90175,,,,,,
PT,123,26/6/2020,743,2.540405511856079,81,0,10.90175,,,,,,
PT,124,27/6/2020,747,2.554081916809082,81,0,10.843373,,,,,,
PT,125,28/6/2020,747,2.554081916809082,81,0,10.843373,,,,,,
PT,126,29/6/2020,747,2.554081916809082,81,0,10.843373,,,,,,
PT,127,30/6/2020,747,2.554081916809082,81,0,10.843373,,,,,,
PT,128,01/7/2020,747,2.554081916809082,81,0,10.843373,,,,,,
PT,129,02/7/2020,748,2.557501077651978,81,0,10.828877,,,,,,
PT,130,03/7/2020,748,2.557501077651978,81,0,10.828877,,,,,,
PT,131,04/7/2020,748,2.557501077651978,81,0,10.828877,,,,,,
PT,132,05/7/2020,748,2.557501077651978,81,0,10.828877,,,,,,
PT,133,06/7/2020,748,2.557501077651978,81,0,10.828877,,,,,,
PT,134,07/7/2020,748,2.557501077651978,81,0,10.828877,,,,,,
PT,135,08/7/2020,749,2.560920000076294,81,0,10.814419,,,,,,
PT,136,09/7/2020,749,2.560920000076294,81,0,10.814419,,,,,,
PT,137,10/7/2020,749,2.560920000076294,81,0,10.814419,,,,,,
PT,138,11/7/2020,749,2.560920000076294,81,0,10.814419,,,,,,
PT,139,12/7/2020,749,2.560920000076294,81,0,10.814419,,,,,,
PT,140,13/7/2020,749,2.560920000076294,81,0,10.814419,,,,,,
PT,141,14/7/2020,749,2.560920000076294,81,0,10.814419,,,,,,
PT,142,15/7/2020,749,2.560920000076294,81,0,10.814419,,,,,,
PT,143,16/7/2020,749,2.560920000076294,81,0,10.814419,,,,,,
PT,144,17/7/2020,749,2.560920000076294,81,0,10.814419,,,,,,
PT,145,18/7/2020,749,2.560920000076294,81,0,10.814419,,,,,,
PT,146,19/7/2020,749,2.560920000076294,81,0,10.814419,,,,,,
PT,147,20/7/2020,749,2.560920000076294,81,0,10.814419,,,,,,
PT,148,21/7/2020,749,2.560920000076294,81,0,10.814419,,,,,,
PT,149,22/7/2020,749,2.560920000076294,81,0,10.814419,,,,,,
PT,150,23/7/2020,750,2.564339399337769,81,0,10.8,,,,,,
PT,151,24/7/2020,752,2.57117748260498,81,0,10.771276,,,,,,
PT,152,25/7/2020,754,2.578015804290771,81,0,10.742705,,,,,,
PT,153,26/7/2020,755,2.581434965133667,81,0,10.728477,,,,,,
PT,154,27/7/2020,755,2.581434965133667,81,0,10.728477,,,,,,
PT,155,28/7/2020,755,2.581434965133667,81,0,10.728477,,,,,,
PT,156,29/7/2020,756,2.584854125976563,81,0,10.714286,,,,,,
PT,157,30/7/2020,756,2.584854125976563,81,0,10.714286,,,,,,
PT,158,31/7/2020,756,2.584854125976563,81,0,10.714286,,,,,,
PT,159,01/8/2020,756,2.584854125976563,81,0,10.714286,,,,,,
PT,160,02/8/2020,756,2.584854125976563,81,0,10.714286,,,,,,
PT,161,03/8/2020,756,2.584854125976563,81,0,10.714286,,,,,,
