geografia,giorno,data,totale_casi_positivi,totale_casi_positivi_ab,deceduti,deceduti_inc,letalita,totale_ricoveri,totale_ricoveri_inc,attualmente_positivi,dimessi,tamponi,tamponi_inc
SI,0,24/2/2020,0,0,,,,,,,,,
SI,1,25/2/2020,0,0,,,,,,,,,
SI,2,26/2/2020,0,0,,,,,,,,,
SI,3,27/2/2020,0,0,,,,,,,,,
SI,4,28/2/2020,0,0,,,,,,,,,
SI,5,29/2/2020,3,.0112276710569859,,,,,,,,,
SI,6,01/3/2020,3,.0112276710569859,,,,,,,,,
SI,7,02/3/2020,3,.0112276710569859,,,,,,,,,
SI,8,03/3/2020,3,.0112276710569859,,,,,,,,,
SI,9,04/3/2020,10,.0374255701899529,,,,,,,,,
SI,10,05/3/2020,12,.0449106842279434,,,,,,,,,
SI,11,06/3/2020,14,.052395798265934,,,,,,,,,
SI,12,07/3/2020,19,.0711085796356201,,,,,,,,,
SI,13,08/3/2020,24,.0898213684558868,,,,,,,,,
SI,14,09/3/2020,29,.108534149825573,0,,0,,,,,,
SI,15,10/3/2020,33,.1235043779015541,0,,0,,,,,,
SI,16,11/3/2020,37,.1384746134281158,0,,0,,,,,,
SI,17,12/3/2020,41,.153444841504097,0,,0,,,,,,
SI,18,13/3/2020,41,.153444841504097,0,,0,,,,,,
SI,19,14/3/2020,58,.2170682996511459,0,,0,,,,,,
SI,20,15/3/2020,60,.2245534211397171,0,,0,,,,,,
SI,21,16/3/2020,66,.2470087558031082,1,,1.5151515,,,,,,
SI,22,17/3/2020,73,.2732066512107849,1,0,1.369863,,,,,,
SI,23,18/3/2020,77,.2881768941879272,1,0,1.2987013,,,,,,
SI,24,19/3/2020,78,.2919194400310516,1,0,1.2820513,,,,,,
SI,25,20/3/2020,128,.4790472984313965,2,100,1.5625,,,,,,
SI,26,21/3/2020,133,.4977600872516632,3,50,2.2556391,,,,,,
SI,27,22/3/2020,144,.538928210735321,3,0,2.0833333,,,,,,
SI,28,23/3/2020,160,.5988091230392456,4,33.333332,2.5,,,,,,
SI,29,24/3/2020,176,.6586900353431702,5,25,2.840909,,,,,,
SI,30,25/3/2020,193,.7223135232925415,6,20,3.1088083,,,,,,
SI,31,26/3/2020,216,.8083922863006592,6,0,2.7777777,,,,,,
SI,32,27/3/2020,216,.8083922863006592,6,0,2.7777777,,,,,,
SI,33,28/3/2020,235,.8795008659362793,8,33.333332,3.4042554,,,,,,
SI,34,29/3/2020,273,1.02171802520752,9,12.5,3.2967033,,,,,,
SI,35,30/3/2020,286,1.070371270179749,9,0,3.1468532,,,,,,
SI,36,31/3/2020,301,1.126509666442871,10,11.111111,3.3222592,,,,,,
