geografia,giorno,data,totale_casi_positivi,totale_casi_positivi_ab,deceduti,deceduti_inc,letalita,totale_ricoveri,totale_ricoveri_inc,attualmente_positivi,dimessi,tamponi,tamponi_inc
Toscana,0,24/2/2020,0,,0,,,0,,0,0,140,
Toscana,1,25/2/2020,2,,0,,,2,,2,0,296,111.42857
Toscana,2,26/2/2020,2,,0,,,2,0,2,0,363,22.635136
Toscana,3,27/2/2020,2,,0,,,2,0,2,0,410,12.947659
Toscana,4,28/2/2020,8,,0,,,5,150,7,1,437,6.5853658
Toscana,5,29/2/2020,11,,0,,,7,40,10,1,531,21.510298
Toscana,6,01/3/2020,13,,0,,,7,0,12,1,572,7.7212806
Toscana,7,02/3/2020,13,,0,,,7,0,12,1,613,7.1678324
Toscana,8,03/3/2020,19,,0,,,10,42.857143,18,1,697,13.703099
Toscana,9,04/3/2020,38,,0,,,17,70,37,1,776,11.33429
Toscana,10,05/3/2020,61,,0,,,29,70.588234,60,1,776,0
Toscana,11,06/3/2020,79,,0,,,40,37.931034,78,1,1097,41.365978
Toscana,12,07/3/2020,113,,0,,,61,52.5,112,1,1331,21.330902
Toscana,13,08/3/2020,166,,0,,,98,60.655739,165,1,1618,21.562735
Toscana,14,09/3/2020,208,,1,,,116,18.367348,206,1,2018,24.721878
Toscana,15,10/3/2020,264,,1,0,,131,12.931034,260,3,2573,27.502478
Toscana,16,11/3/2020,320,,1,0,,141,7.6335878,314,5,2804,8.9778471
Toscana,17,12/3/2020,364,,5,400,,159,12.765958,352,7,3165,12.874465
Toscana,18,13/3/2020,470,,5,0,,211,32.704403,455,10,4049,27.93049
Toscana,19,14/3/2020,630,,6,20,,247,17.061611,614,10,4595,13.484811
Toscana,20,15/3/2020,781,,8,33.333332,,282,14.17004,763,10,5132,11.686616
Toscana,21,16/3/2020,866,,14,75,,282,0,841,11,5910,15.159781
Toscana,22,17/3/2020,1053,,17,21.428572,,472,67.375885,1024,12,6727,13.824027
Toscana,23,18/3/2020,1330,,22,29.411764,,587,24.364407,1291,17,7606,13.066746
Toscana,24,19/3/2020,1482,,38,72.727272,,679,15.672914,1422,22,8873,16.657902
Toscana,25,20/3/2020,1793,,47,23.68421,,790,16.34757,1713,33,10405,17.265863
Toscana,26,21/3/2020,2012,,72,53.19149,,866,9.6202536,1905,35,11909,14.454589
Toscana,27,22/3/2020,2277,,91,26.388889,,921,6.3510394,2144,42,13264,11.37795
Toscana,28,23/3/2020,2461,,109,19.78022,,1076,16.829533,2301,51,13851,4.4255128
Toscana,29,24/3/2020,2699,,129,18.348623,,1162,7.9925652,2519,51,15701,13.356437
Toscana,30,25/3/2020,2972,,142,10.077519,,1250,7.5731497,2776,54,17868,13.801669
Toscana,31,26/3/2020,3226,,158,11.267606,,1296,3.6800001,2973,95,20952,17.259907
Toscana,32,27/3/2020,3450,,177,12.025316,,1327,2.3919754,3170,103,23746,13.335242
Toscana,33,28/3/2020,3817,,198,11.864407,,1370,3.240392,3511,108,25613,7.8623767
Toscana,34,29/3/2020,4122,,215,8.5858583,,1386,1.1678832,3786,121,27579,7.6757898
Toscana,35,30/3/2020,4412,,231,7.4418607,,1395,.64935064,4050,131,30099,9.1373873
Toscana,36,31/3/2020,4608,,244,5.6277056,,1413,1.2903225,4226,138,33165,10.186385
Toscana,37,01/4/2020,4867,,253,3.6885245,,1417,.28308564,4432,182,36575,10.281923
Toscana,38,02/4/2020,5273,,268,5.928854,,1430,.91743118,4789,216,40724,11.343814
Toscana,39,03/4/2020,5499,,290,8.2089548,,1437,.48951048,4909,300,44460,9.1739511
Toscana,40,04/4/2020,5671,,307,5.8620691,,1415,-1.5309672,5054,310,47886,7.7058029
Toscana,41,05/4/2020,5847,,325,5.8631921,,1387,-1.9787986,5185,337,51006,6.5154743
Toscana,42,06/4/2020,6001,,350,7.6923075,,1395,.57678443,5301,350,52849,3.6133003
Toscana,43,07/4/2020,6173,,369,5.4285712,,1350,-3.2258065,5427,377,56651,7.1940813
Toscana,44,08/4/2020,6379,,392,6.2330623,,1326,-1.7777778,5557,430,60985,7.6503506
Toscana,45,09/4/2020,6552,,408,4.0816326,,1294,-2.4132731,5703,441,65461,7.3395095
Toscana,46,10/4/2020,6727,,454,11.274509,,1267,-2.0865533,5822,451,72001,9.9906816
Toscana,47,11/4/2020,6958,,467,2.8634362,,1234,-2.6045778,5992,499,75756,5.2152052
Toscana,48,12/4/2020,7235,,495,5.9957175,,1221,-1.0534846,6162,578,78640,3.8069592
